WARNING:tensorflow:From /home/er3s56/onsager_deep_learning/tools/problems.py:45: to_float (from tensorflow.python.ops.math_ops) is deprecated and will be removed in a future version.
Instructions for updating:
Use tf.cast instead.
WARNING:tensorflow:From /usr/local/lib/python2.7/dist-packages/tensorflow/python/framework/op_def_library.py:263: colocate_with (from tensorflow.python.framework.ops) is deprecated and will be removed in a future version.
Instructions for updating:
Colocations handled automatically by placer.
WARNING:tensorflow:From /usr/local/lib/python2.7/dist-packages/tensorflow/python/ops/math_ops.py:3066: to_int32 (from tensorflow.python.ops.math_ops) is deprecated and will be removed in a future version.
Instructions for updating:
Use tf.cast instead.
norms xval:224.5516510 yval:224.0477230
Linear trainrate=0.5 fine tuning all H0:0,theta0:0,vs0:0,H1:0,G1:0,vs1:0,theta1:0,H2:0,G2:0,vs2:0,theta2:0

i=0      nmse=-1.705712 dB (best=-1.705712)

i=10     nmse=-1.738880 dB (best=-1.738880)
i=20     nmse=-1.771154 dB (best=-1.771154)
i=30     nmse=-1.802469 dB (best=-1.802469)
i=40     nmse=-1.832883 dB (best=-1.832883)
i=50     nmse=-1.862320 dB (best=-1.862320)
i=60     nmse=-1.890840 dB (best=-1.890839)
i=70     nmse=-1.918360 dB (best=-1.918360)
i=80     nmse=-1.944939 dB (best=-1.944939)
i=90     nmse=-1.970611 dB (best=-1.970611)
i=100    nmse=-1.995378 dB (best=-1.995378)
i=110    nmse=-2.019337 dB (best=-2.019337)
i=120    nmse=-2.042476 dB (best=-2.042476)
i=130    nmse=-2.064846 dB (best=-2.064846)
i=140    nmse=-2.086588 dB (best=-2.086588)
i=150    nmse=-2.107695 dB (best=-2.107695)
i=160    nmse=-2.128164 dB (best=-2.128164)
i=170    nmse=-2.147973 dB (best=-2.147973)
i=180    nmse=-2.167132 dB (best=-2.167132)
i=190    nmse=-2.185678 dB (best=-2.185678)
i=200    nmse=-2.203796 dB (best=-2.203796)
i=210    nmse=-2.221216 dB (best=-2.221216)
i=220    nmse=-2.238055 dB (best=-2.238055)
i=230    nmse=-2.254326 dB (best=-2.254326)
i=240    nmse=-2.270147 dB (best=-2.270147)
i=250    nmse=-2.285565 dB (best=-2.285565)
i=260    nmse=-2.300541 dB (best=-2.300541)
i=270    nmse=-2.315050 dB (best=-2.315050)
i=280    nmse=-2.329042 dB (best=-2.329042)
i=290    nmse=-2.342592 dB (best=-2.342592)
i=300    nmse=-2.355736 dB (best=-2.355737)
i=310    nmse=-2.368469 dB (best=-2.368469)
i=320    nmse=-2.380931 dB (best=-2.380931)
i=330    nmse=-2.393093 dB (best=-2.393093)
i=340    nmse=-2.404959 dB (best=-2.404959)
i=350    nmse=-2.416552 dB (best=-2.416552)
i=360    nmse=-2.427758 dB (best=-2.427758)
i=370    nmse=-2.438600 dB (best=-2.438600)
i=380    nmse=-2.449180 dB (best=-2.449180)
i=390    nmse=-2.459468 dB (best=-2.459468)
i=400    nmse=-2.469500 dB (best=-2.469500)
i=410    nmse=-2.479332 dB (best=-2.479332)
i=420    nmse=-2.488804 dB (best=-2.488804)
i=430    nmse=-2.498045 dB (best=-2.498045)
i=440    nmse=-2.506989 dB (best=-2.506989)
i=450    nmse=-2.515711 dB (best=-2.515711)
i=460    nmse=-2.524269 dB (best=-2.524269)
i=470    nmse=-2.532612 dB (best=-2.532612)
i=480    nmse=-2.540790 dB (best=-2.540790)
i=490    nmse=-2.548769 dB (best=-2.548769)
i=500    nmse=-2.556493 dB (best=-2.556493)
i=510    nmse=-2.564160 dB (best=-2.564160)
i=520    nmse=-2.571647 dB (best=-2.571647)
i=530    nmse=-2.578860 dB (best=-2.578860)
i=540    nmse=-2.585841 dB (best=-2.585841)
i=550    nmse=-2.592627 dB (best=-2.592627)
i=560    nmse=-2.599320 dB (best=-2.599320)
i=570    nmse=-2.605875 dB (best=-2.605875)
i=580    nmse=-2.612287 dB (best=-2.612287)
i=590    nmse=-2.618523 dB (best=-2.618523)
i=600    nmse=-2.624753 dB (best=-2.624753)
i=610    nmse=-2.630769 dB (best=-2.630769)
i=620    nmse=-2.636628 dB (best=-2.636629)
i=630    nmse=-2.642375 dB (best=-2.642375)
i=640    nmse=-2.648012 dB (best=-2.648012)
i=650    nmse=-2.653612 dB (best=-2.653613)
i=660    nmse=-2.659048 dB (best=-2.659048)
i=670    nmse=-2.664321 dB (best=-2.664321)
i=680    nmse=-2.669521 dB (best=-2.669520)
i=690    nmse=-2.674592 dB (best=-2.674592)
i=700    nmse=-2.679573 dB (best=-2.679573)
i=710    nmse=-2.684434 dB (best=-2.684434)
i=720    nmse=-2.689121 dB (best=-2.689121)
