WARNING:tensorflow:From /home/er3s56/onsager_deep_learning/tools/problems.py:45: to_float (from tensorflow.python.ops.math_ops) is deprecated and will be removed in a future version.
Instructions for updating:
Use tf.cast instead.
WARNING:tensorflow:From /usr/local/lib/python2.7/dist-packages/tensorflow/python/framework/op_def_library.py:263: colocate_with (from tensorflow.python.framework.ops) is deprecated and will be removed in a future version.
Instructions for updating:
Colocations handled automatically by placer.
WARNING:tensorflow:From /usr/local/lib/python2.7/dist-packages/tensorflow/python/ops/math_ops.py:3066: to_int32 (from tensorflow.python.ops.math_ops) is deprecated and will be removed in a future version.
Instructions for updating:
Use tf.cast instead.
theta_init=(1, 2.1972245773362196)
svd reconstruction error=-128.771dB
norms xval:224.5516510 yval:224.0477230
LVAMP-bg T=1 trainrate=0.5 fine tuning all logyvar:0,theta_0:0,theta_1:0,theta_2:0,theta_3:0,theta_4:0,theta_5:0

i=0      nmse=-0.590845 dB (best=-0.590845)

i=10     nmse=-0.591646 dB (best=-0.591646)
i=20     nmse=-0.592448 dB (best=-0.592448)
i=30     nmse=-0.593251 dB (best=-0.593251)
i=40     nmse=-0.594058 dB (best=-0.594058)
i=50     nmse=-0.594866 dB (best=-0.594866)
i=60     nmse=-0.595674 dB (best=-0.595674)
i=70     nmse=-0.596482 dB (best=-0.596482)
i=80     nmse=-0.597292 dB (best=-0.597292)
i=90     nmse=-0.598104 dB (best=-0.598104)
i=100    nmse=-0.598914 dB (best=-0.598914)
i=110    nmse=-0.599727 dB (best=-0.599727)
i=120    nmse=-0.600543 dB (best=-0.600543)
i=130    nmse=-0.601358 dB (best=-0.601358)
i=140    nmse=-0.602176 dB (best=-0.602176)
i=150    nmse=-0.602994 dB (best=-0.602994)
i=160    nmse=-0.603813 dB (best=-0.603813)
i=170    nmse=-0.604630 dB (best=-0.604630)
i=180    nmse=-0.605451 dB (best=-0.605451)
i=190    nmse=-0.606272 dB (best=-0.606272)
i=200    nmse=-0.607094 dB (best=-0.607094)
i=210    nmse=-0.607919 dB (best=-0.607919)
i=220    nmse=-0.608744 dB (best=-0.608744)
i=230    nmse=-0.609570 dB (best=-0.609570)
i=240    nmse=-0.610396 dB (best=-0.610396)
i=250    nmse=-0.611225 dB (best=-0.611225)
i=260    nmse=-0.612054 dB (best=-0.612054)
i=270    nmse=-0.612881 dB (best=-0.612881)
i=280    nmse=-0.613709 dB (best=-0.613709)
i=290    nmse=-0.614540 dB (best=-0.614540)
i=300    nmse=-0.615373 dB (best=-0.615373)
i=310    nmse=-0.616207 dB (best=-0.616207)
i=320    nmse=-0.617047 dB (best=-0.617047)
i=330    nmse=-0.617888 dB (best=-0.617888)
i=340    nmse=-0.618730 dB (best=-0.618730)
i=350    nmse=-0.619573 dB (best=-0.619573)
i=360    nmse=-0.620412 dB (best=-0.620412)
i=370    nmse=-0.621252 dB (best=-0.621252)
i=380    nmse=-0.622094 dB (best=-0.622094)
i=390    nmse=-0.622940 dB (best=-0.622940)
i=400    nmse=-0.623788 dB (best=-0.623788)
i=410    nmse=-0.624636 dB (best=-0.624636)
i=420    nmse=-0.625487 dB (best=-0.625487)
i=430    nmse=-0.626342 dB (best=-0.626342)
i=440    nmse=-0.627197 dB (best=-0.627197)
i=450    nmse=-0.628053 dB (best=-0.628053)
i=460    nmse=-0.628903 dB (best=-0.628903)
i=470    nmse=-0.629757 dB (best=-0.629757)
i=480    nmse=-0.630613 dB (best=-0.630613)
i=490    nmse=-0.631470 dB (best=-0.631470)
i=500    nmse=-0.632327 dB (best=-0.632327)
i=510    nmse=-0.633183 dB (best=-0.633183)
i=520    nmse=-0.634045 dB (best=-0.634045)
i=530    nmse=-0.634906 dB (best=-0.634906)
i=540    nmse=-0.635767 dB (best=-0.635766)
i=550    nmse=-0.636633 dB (best=-0.636633)
i=560    nmse=-0.637502 dB (best=-0.637502)
i=570    nmse=-0.638368 dB (best=-0.638368)
i=580    nmse=-0.639236 dB (best=-0.639236)
i=590    nmse=-0.640105 dB (best=-0.640105)
i=600    nmse=-0.640975 dB (best=-0.640975)
i=610    nmse=-0.641851 dB (best=-0.641851)
i=620    nmse=-0.642726 dB (best=-0.642726)
i=630    nmse=-0.643602 dB (best=-0.643602)
i=640    nmse=-0.644481 dB (best=-0.644481)
i=650    nmse=-0.645358 dB (best=-0.645358)
i=660    nmse=-0.646236 dB (best=-0.646236)
i=670    nmse=-0.647115 dB (best=-0.647115)
i=680    nmse=-0.647992 dB (best=-0.647992)
i=690    nmse=-0.648872 dB (best=-0.648872)
i=700    nmse=-0.649753 dB (best=-0.649753)
i=710    nmse=-0.650635 dB (best=-0.650634)
i=720    nmse=-0.651520 dB (best=-0.651520)
i=730    nmse=-0.652409 dB (best=-0.652409)
i=740    nmse=-0.653295 dB (best=-0.653295)
i=750    nmse=-0.654182 dB (best=-0.654182)
i=760    nmse=-0.655069 dB (best=-0.655069)
i=770    nmse=-0.655956 dB (best=-0.655956)
i=780    nmse=-0.656847 dB (best=-0.656847)
i=790    nmse=-0.657743 dB (best=-0.657743)
i=800    nmse=-0.658637 dB (best=-0.658637)
i=810    nmse=-0.659533 dB (best=-0.659533)
i=820    nmse=-0.660431 dB (best=-0.660431)
i=830    nmse=-0.661333 dB (best=-0.661333)
i=840    nmse=-0.662232 dB (best=-0.662232)
i=850    nmse=-0.663135 dB (best=-0.663135)
i=860    nmse=-0.664040 dB (best=-0.664040)
i=870    nmse=-0.664944 dB (best=-0.664944)
i=880    nmse=-0.665848 dB (best=-0.665848)
i=890    nmse=-0.666749 dB (best=-0.666749)
i=900    nmse=-0.667652 dB (best=-0.667652)
i=910    nmse=-0.668559 dB (best=-0.668559)
i=920    nmse=-0.669466 dB (best=-0.669466)
i=930    nmse=-0.670373 dB (best=-0.670373)
i=940    nmse=-0.671283 dB (best=-0.671283)
i=950    nmse=-0.672194 dB (best=-0.672194)
i=960    nmse=-0.673103 dB (best=-0.673103)
i=970    nmse=-0.674015 dB (best=-0.674015)
i=980    nmse=-0.674929 dB (best=-0.674929)
i=990    nmse=-0.675845 dB (best=-0.675845)
i=1000   nmse=-0.676765 dB (best=-0.676765)

i=1010   nmse=-0.677684 dB (best=-0.677684)
i=1020   nmse=-0.678605 dB (best=-0.678605)
i=1030   nmse=-0.679528 dB (best=-0.679528)
i=1040   nmse=-0.680449 dB (best=-0.680449)
i=1050   nmse=-0.681370 dB (best=-0.681370)
i=1060   nmse=-0.682291 dB (best=-0.682291)
i=1070   nmse=-0.683216 dB (best=-0.683216)
i=1080   nmse=-0.684144 dB (best=-0.684144)
i=1090   nmse=-0.685072 dB (best=-0.685072)
i=1100   nmse=-0.686004 dB (best=-0.686004)
i=1110   nmse=-0.686935 dB (best=-0.686935)
i=1120   nmse=-0.687870 dB (best=-0.687870)
i=1130   nmse=-0.688807 dB (best=-0.688807)
i=1140   nmse=-0.689744 dB (best=-0.689744)
i=1150   nmse=-0.690678 dB (best=-0.690678)
i=1160   nmse=-0.691611 dB (best=-0.691611)
i=1170   nmse=-0.692549 dB (best=-0.692549)
i=1180   nmse=-0.693491 dB (best=-0.693491)
i=1190   nmse=-0.694433 dB (best=-0.694433)
i=1200   nmse=-0.695376 dB (best=-0.695376)
i=1210   nmse=-0.696316 dB (best=-0.696316)
i=1220   nmse=-0.697259 dB (best=-0.697259)
i=1230   nmse=-0.698208 dB (best=-0.698208)
i=1240   nmse=-0.699156 dB (best=-0.699156)
i=1250   nmse=-0.700106 dB (best=-0.700106)
i=1260   nmse=-0.701056 dB (best=-0.701056)
i=1270   nmse=-0.702004 dB (best=-0.702004)
i=1280   nmse=-0.702955 dB (best=-0.702955)
i=1290   nmse=-0.703911 dB (best=-0.703911)
i=1300   nmse=-0.704869 dB (best=-0.704869)
i=1310   nmse=-0.705827 dB (best=-0.705827)
i=1320   nmse=-0.706786 dB (best=-0.706786)
i=1330   nmse=-0.707746 dB (best=-0.707746)
i=1340   nmse=-0.708703 dB (best=-0.708703)
i=1350   nmse=-0.709667 dB (best=-0.709667)
i=1360   nmse=-0.710628 dB (best=-0.710628)
i=1370   nmse=-0.711593 dB (best=-0.711593)
i=1380   nmse=-0.712560 dB (best=-0.712560)
i=1390   nmse=-0.713525 dB (best=-0.713525)
i=1400   nmse=-0.714488 dB (best=-0.714488)
i=1410   nmse=-0.715455 dB (best=-0.715455)
i=1420   nmse=-0.716420 dB (best=-0.716419)
i=1430   nmse=-0.717385 dB (best=-0.717385)
i=1440   nmse=-0.718352 dB (best=-0.718352)
i=1450   nmse=-0.719321 dB (best=-0.719321)
i=1460   nmse=-0.720292 dB (best=-0.720292)
i=1470   nmse=-0.721267 dB (best=-0.721267)
i=1480   nmse=-0.722245 dB (best=-0.722245)
i=1490   nmse=-0.723222 dB (best=-0.723222)
i=1500   nmse=-0.724201 dB (best=-0.724201)
i=1510   nmse=-0.725182 dB (best=-0.725182)
i=1520   nmse=-0.726161 dB (best=-0.726161)
i=1530   nmse=-0.727139 dB (best=-0.727139)
i=1540   nmse=-0.728118 dB (best=-0.728118)
i=1550   nmse=-0.729100 dB (best=-0.729100)
i=1560   nmse=-0.730084 dB (best=-0.730084)
i=1570   nmse=-0.731072 dB (best=-0.731072)
i=1580   nmse=-0.732061 dB (best=-0.732061)
i=1590   nmse=-0.733051 dB (best=-0.733051)
i=1600   nmse=-0.734044 dB (best=-0.734044)
i=1610   nmse=-0.735038 dB (best=-0.735038)
i=1620   nmse=-0.736032 dB (best=-0.736032)
i=1630   nmse=-0.737025 dB (best=-0.737025)
i=1640   nmse=-0.738019 dB (best=-0.738019)
i=1650   nmse=-0.739012 dB (best=-0.739012)
i=1660   nmse=-0.740008 dB (best=-0.740008)
i=1670   nmse=-0.741006 dB (best=-0.741006)
i=1680   nmse=-0.742006 dB (best=-0.742006)
i=1690   nmse=-0.743010 dB (best=-0.743010)
i=1700   nmse=-0.744013 dB (best=-0.744013)
i=1710   nmse=-0.745017 dB (best=-0.745017)
i=1720   nmse=-0.746019 dB (best=-0.746019)
i=1730   nmse=-0.747024 dB (best=-0.747024)
i=1740   nmse=-0.748029 dB (best=-0.748029)
i=1750   nmse=-0.749035 dB (best=-0.749035)
i=1760   nmse=-0.750042 dB (best=-0.750042)
i=1770   nmse=-0.751054 dB (best=-0.751054)
i=1780   nmse=-0.752068 dB (best=-0.752068)
i=1790   nmse=-0.753083 dB (best=-0.753083)
i=1800   nmse=-0.754097 dB (best=-0.754097)
i=1810   nmse=-0.755108 dB (best=-0.755108)
i=1820   nmse=-0.756123 dB (best=-0.756123)
i=1830   nmse=-0.757139 dB (best=-0.757139)
i=1840   nmse=-0.758160 dB (best=-0.758160)
i=1850   nmse=-0.759174 dB (best=-0.759174)
i=1860   nmse=-0.760197 dB (best=-0.760197)
i=1870   nmse=-0.761221 dB (best=-0.761221)
i=1880   nmse=-0.762245 dB (best=-0.762245)
i=1890   nmse=-0.763269 dB (best=-0.763269)
i=1900   nmse=-0.764293 dB (best=-0.764293)
i=1910   nmse=-0.765313 dB (best=-0.765313)
i=1920   nmse=-0.766335 dB (best=-0.766335)
i=1930   nmse=-0.767361 dB (best=-0.767361)
i=1940   nmse=-0.768391 dB (best=-0.768391)
i=1950   nmse=-0.769424 dB (best=-0.769424)
i=1960   nmse=-0.770456 dB (best=-0.770456)
i=1970   nmse=-0.771491 dB (best=-0.771491)
i=1980   nmse=-0.772524 dB (best=-0.772524)
i=1990   nmse=-0.773559 dB (best=-0.773559)
i=2000   nmse=-0.774592 dB (best=-0.774592)

i=2010   nmse=-0.775623 dB (best=-0.775623)
i=2020   nmse=-0.776656 dB (best=-0.776656)
i=2030   nmse=-0.777696 dB (best=-0.777696)
i=2040   nmse=-0.778734 dB (best=-0.778734)
i=2050   nmse=-0.779774 dB (best=-0.779774)
i=2060   nmse=-0.780816 dB (best=-0.780816)
i=2070   nmse=-0.781857 dB (best=-0.781857)
i=2080   nmse=-0.782898 dB (best=-0.782898)
i=2090   nmse=-0.783940 dB (best=-0.783940)
i=2100   nmse=-0.784983 dB (best=-0.784983)
i=2110   nmse=-0.786029 dB (best=-0.786029)
i=2120   nmse=-0.787076 dB (best=-0.787076)
i=2130   nmse=-0.788124 dB (best=-0.788124)
i=2140   nmse=-0.789176 dB (best=-0.789176)
i=2150   nmse=-0.790232 dB (best=-0.790232)
i=2160   nmse=-0.791283 dB (best=-0.791283)
i=2170   nmse=-0.792334 dB (best=-0.792334)
i=2180   nmse=-0.793387 dB (best=-0.793387)
i=2190   nmse=-0.794446 dB (best=-0.794446)
i=2200   nmse=-0.795510 dB (best=-0.795510)
i=2210   nmse=-0.796572 dB (best=-0.796572)
i=2220   nmse=-0.797631 dB (best=-0.797631)
i=2230   nmse=-0.798691 dB (best=-0.798691)
i=2240   nmse=-0.799750 dB (best=-0.799750)
i=2250   nmse=-0.800810 dB (best=-0.800810)
i=2260   nmse=-0.801877 dB (best=-0.801877)
i=2270   nmse=-0.802943 dB (best=-0.802943)
i=2280   nmse=-0.804010 dB (best=-0.804010)
i=2290   nmse=-0.805079 dB (best=-0.805079)
i=2300   nmse=-0.806146 dB (best=-0.806146)
i=2310   nmse=-0.807216 dB (best=-0.807216)
i=2320   nmse=-0.808285 dB (best=-0.808285)
i=2330   nmse=-0.809352 dB (best=-0.809352)
i=2340   nmse=-0.810421 dB (best=-0.810421)
i=2350   nmse=-0.811489 dB (best=-0.811489)
i=2360   nmse=-0.812561 dB (best=-0.812561)
i=2370   nmse=-0.813636 dB (best=-0.813635)
i=2380   nmse=-0.814714 dB (best=-0.814714)
i=2390   nmse=-0.815793 dB (best=-0.815793)
i=2400   nmse=-0.816871 dB (best=-0.816871)
i=2410   nmse=-0.817948 dB (best=-0.817948)
i=2420   nmse=-0.819022 dB (best=-0.819022)
i=2430   nmse=-0.820099 dB (best=-0.820099)
i=2440   nmse=-0.821179 dB (best=-0.821179)
i=2450   nmse=-0.822261 dB (best=-0.822261)
i=2460   nmse=-0.823345 dB (best=-0.823345)
i=2470   nmse=-0.824430 dB (best=-0.824430)
i=2480   nmse=-0.825517 dB (best=-0.825517)
i=2490   nmse=-0.826606 dB (best=-0.826606)
i=2500   nmse=-0.827699 dB (best=-0.827699)
i=2510   nmse=-0.828790 dB (best=-0.828790)
i=2520   nmse=-0.829882 dB (best=-0.829882)
i=2530   nmse=-0.830979 dB (best=-0.830979)
i=2540   nmse=-0.832075 dB (best=-0.832075)
i=2550   nmse=-0.833169 dB (best=-0.833169)
i=2560   nmse=-0.834263 dB (best=-0.834263)
i=2570   nmse=-0.835358 dB (best=-0.835358)
i=2580   nmse=-0.836453 dB (best=-0.836453)
i=2590   nmse=-0.837550 dB (best=-0.837550)
i=2600   nmse=-0.838650 dB (best=-0.838650)
i=2610   nmse=-0.839752 dB (best=-0.839752)
i=2620   nmse=-0.840854 dB (best=-0.840854)
i=2630   nmse=-0.841957 dB (best=-0.841957)
i=2640   nmse=-0.843060 dB (best=-0.843059)
i=2650   nmse=-0.844165 dB (best=-0.844165)
i=2660   nmse=-0.845264 dB (best=-0.845264)
i=2670   nmse=-0.846362 dB (best=-0.846362)
i=2680   nmse=-0.847464 dB (best=-0.847464)
i=2690   nmse=-0.848571 dB (best=-0.848571)
i=2700   nmse=-0.849682 dB (best=-0.849682)
i=2710   nmse=-0.850790 dB (best=-0.850790)
i=2720   nmse=-0.851902 dB (best=-0.851902)
i=2730   nmse=-0.853014 dB (best=-0.853014)
i=2740   nmse=-0.854129 dB (best=-0.854129)
i=2750   nmse=-0.855250 dB (best=-0.855250)
i=2760   nmse=-0.856371 dB (best=-0.856371)
i=2770   nmse=-0.857491 dB (best=-0.857491)
i=2780   nmse=-0.858608 dB (best=-0.858608)
i=2790   nmse=-0.859730 dB (best=-0.859730)
i=2800   nmse=-0.860852 dB (best=-0.860852)
i=2810   nmse=-0.861972 dB (best=-0.861972)
i=2820   nmse=-0.863094 dB (best=-0.863094)
i=2830   nmse=-0.864221 dB (best=-0.864221)
i=2840   nmse=-0.865348 dB (best=-0.865348)
i=2850   nmse=-0.866475 dB (best=-0.866475)
i=2860   nmse=-0.867599 dB (best=-0.867599)
i=2870   nmse=-0.868724 dB (best=-0.868724)
i=2880   nmse=-0.869851 dB (best=-0.869851)
i=2890   nmse=-0.870976 dB (best=-0.870976)
i=2900   nmse=-0.872101 dB (best=-0.872101)
i=2910   nmse=-0.873228 dB (best=-0.873228)
i=2920   nmse=-0.874357 dB (best=-0.874357)
i=2930   nmse=-0.875495 dB (best=-0.875495)
i=2940   nmse=-0.876633 dB (best=-0.876633)
i=2950   nmse=-0.877771 dB (best=-0.877771)
i=2960   nmse=-0.878908 dB (best=-0.878908)
i=2970   nmse=-0.880046 dB (best=-0.880046)
i=2980   nmse=-0.881183 dB (best=-0.881183)
i=2990   nmse=-0.882322 dB (best=-0.882322)
i=3000   nmse=-0.883457 dB (best=-0.883457)

i=3010   nmse=-0.884594 dB (best=-0.884594)
i=3020   nmse=-0.885731 dB (best=-0.885731)
i=3030   nmse=-0.886874 dB (best=-0.886874)
i=3040   nmse=-0.888021 dB (best=-0.888021)
i=3050   nmse=-0.889168 dB (best=-0.889168)
i=3060   nmse=-0.890317 dB (best=-0.890317)
i=3070   nmse=-0.891467 dB (best=-0.891467)
i=3080   nmse=-0.892620 dB (best=-0.892620)
i=3090   nmse=-0.893773 dB (best=-0.893773)
i=3100   nmse=-0.894926 dB (best=-0.894926)
i=3110   nmse=-0.896079 dB (best=-0.896079)
i=3120   nmse=-0.897230 dB (best=-0.897230)
i=3130   nmse=-0.898383 dB (best=-0.898383)
i=3140   nmse=-0.899540 dB (best=-0.899540)
i=3150   nmse=-0.900697 dB (best=-0.900697)
i=3160   nmse=-0.901851 dB (best=-0.901851)
i=3170   nmse=-0.903004 dB (best=-0.903004)
i=3180   nmse=-0.904162 dB (best=-0.904162)
i=3190   nmse=-0.905321 dB (best=-0.905321)
i=3200   nmse=-0.906482 dB (best=-0.906482)
i=3210   nmse=-0.907646 dB (best=-0.907646)
i=3220   nmse=-0.908808 dB (best=-0.908808)
i=3230   nmse=-0.909971 dB (best=-0.909971)
i=3240   nmse=-0.911131 dB (best=-0.911131)
i=3250   nmse=-0.912290 dB (best=-0.912290)
i=3260   nmse=-0.913453 dB (best=-0.913453)
i=3270   nmse=-0.914622 dB (best=-0.914622)
i=3280   nmse=-0.915792 dB (best=-0.915792)
i=3290   nmse=-0.916960 dB (best=-0.916960)
i=3300   nmse=-0.918132 dB (best=-0.918132)
i=3310   nmse=-0.919304 dB (best=-0.919304)
i=3320   nmse=-0.920475 dB (best=-0.920475)
i=3330   nmse=-0.921650 dB (best=-0.921650)
i=3340   nmse=-0.922826 dB (best=-0.922826)
i=3350   nmse=-0.924005 dB (best=-0.924004)
i=3360   nmse=-0.925181 dB (best=-0.925181)
i=3370   nmse=-0.926355 dB (best=-0.926355)
i=3380   nmse=-0.927532 dB (best=-0.927532)
i=3390   nmse=-0.928712 dB (best=-0.928712)
i=3400   nmse=-0.929891 dB (best=-0.929891)
i=3410   nmse=-0.931077 dB (best=-0.931077)
i=3420   nmse=-0.932261 dB (best=-0.932261)
i=3430   nmse=-0.933445 dB (best=-0.933445)
i=3440   nmse=-0.934631 dB (best=-0.934631)
i=3450   nmse=-0.935815 dB (best=-0.935815)
i=3460   nmse=-0.936999 dB (best=-0.936999)
i=3470   nmse=-0.938181 dB (best=-0.938181)
i=3480   nmse=-0.939366 dB (best=-0.939366)
i=3490   nmse=-0.940555 dB (best=-0.940555)
i=3500   nmse=-0.941747 dB (best=-0.941747)
i=3510   nmse=-0.942939 dB (best=-0.942939)
i=3520   nmse=-0.944132 dB (best=-0.944132)
i=3530   nmse=-0.945324 dB (best=-0.945324)
i=3540   nmse=-0.946512 dB (best=-0.946512)
i=3550   nmse=-0.947707 dB (best=-0.947707)
i=3560   nmse=-0.948900 dB (best=-0.948900)
i=3570   nmse=-0.950096 dB (best=-0.950096)
i=3580   nmse=-0.951295 dB (best=-0.951295)
i=3590   nmse=-0.952497 dB (best=-0.952497)
i=3600   nmse=-0.953694 dB (best=-0.953694)
i=3610   nmse=-0.954892 dB (best=-0.954892)
i=3620   nmse=-0.956096 dB (best=-0.956096)
i=3630   nmse=-0.957297 dB (best=-0.957297)
i=3640   nmse=-0.958499 dB (best=-0.958499)
i=3650   nmse=-0.959703 dB (best=-0.959703)
i=3660   nmse=-0.960906 dB (best=-0.960906)
i=3670   nmse=-0.962113 dB (best=-0.962113)
i=3680   nmse=-0.963321 dB (best=-0.963321)
i=3690   nmse=-0.964528 dB (best=-0.964528)
i=3700   nmse=-0.965735 dB (best=-0.965735)
i=3710   nmse=-0.966939 dB (best=-0.966939)
i=3720   nmse=-0.968147 dB (best=-0.968147)
i=3730   nmse=-0.969366 dB (best=-0.969366)
i=3740   nmse=-0.970582 dB (best=-0.970582)
